MYA,best estimate O2 percent,mean -1stdev ,mean + 1stdev,SOURCE,Dataset,min/max,NOTES,NOTES cont
0,22.2,18.9,24.5,GlasspoolScott2010,charcoal,,,"A = MIFs constrain oxygen < 1e-5, 1e-6 PAL (0.2ppm), so the transition here is taken to be just a transition above this level (source does not comment on oxygen levels explicitly, we assume range from Zahnle et al. 2006"
10,21.6,,24.5,GlasspoolScott2010,charcoal,,,B = duration of signal is estimated from the age range given for Koegas subgroup (origin of grains)
20,21.1,,24,GlasspoolScott2010,charcoal,,,C = Monte carlo analysis in NEOCARBSULF model (adapted GEOCARBSULF) for combined d13C_org and d13C_carb isotopic balance
30,22.2,18.4,24.6,GlasspoolScott2010,charcoal,,,D = reading off data compilation fig 3 - gives upper and lower boundaries (adding average so symbol shows) - constraints later than 400 Ma are all from other sources
40,21.3,,23.9,GlasspoolScott2010,charcoal,,,"E = reading off model output (from dataset) of 90 m chemocline in fig 4; top/bottom black points == range, take mean for preferred value"
50,23.8,19.7,26.6,GlasspoolScott2010,charcoal,,,F = reading from compilation in fig 1; start/stop estimates made from start/ends of lines of dots - clumping together major peaks into one signal
60,26,22.3,28.9,GlasspoolScott2010,charcoal,,,"G = reading from fig 2 d33S plot in stratigraphy, includes 2016 compilation by same author; kinda guessing at duration from age brackets given on fig"
70,25.5,21.3,28.5,GlasspoolScott2010,charcoal,,,"H = reading from d33S plots in fig 2 stratigraphy, guessing start/stop of major peaks from reported ages of formation"
80,25.6,20.7,28.8,GlasspoolScott2010,charcoal,,,
90,25.4,22.5,27.9,GlasspoolScott2010,charcoal,,,
100,29.2,27,30.8,GlasspoolScott2010,charcoal,,,
110,28.1,24,31.4,GlasspoolScott2010,charcoal,,,
120,28.8,25.3,31.8,GlasspoolScott2010,charcoal,,,
130,NA,,,GlasspoolScott2010,charcoal,,,
140,22.6,,26.3,GlasspoolScott2010,charcoal,,,
150,27.4,22.9,30.9,GlasspoolScott2010,charcoal,,,
160,25.6,,29.3,GlasspoolScott2010,charcoal,,,
170,28.3,23.2,32,GlasspoolScott2010,charcoal,,,
180,22.6,,26.2,GlasspoolScott2010,charcoal,,,
190,27.4,16,31.6,GlasspoolScott2010,charcoal,,,
200,28.1,21.7,32.1,GlasspoolScott2010,charcoal,,,
210,23.5,21.7,25.3,GlasspoolScott2010,charcoal,,,
220,27.1,20.5,30.9,GlasspoolScott2010,charcoal,,,
230,18.5,,21.1,GlasspoolScott2010,charcoal,,,
240,25.5,24.3,26.5,GlasspoolScott2010,charcoal,,,
250,28.9,25.8,31.5,GlasspoolScott2010,charcoal,,,
260,26.9,23.4,29.8,GlasspoolScott2010,charcoal,,,
270,27.6,23,31.2,GlasspoolScott2010,charcoal,,,
280,29.4,25.9,32.3,GlasspoolScott2010,charcoal,,,
290,28.2,24.6,31.2,GlasspoolScott2010,charcoal,,,
300,25.5,22.4,28.1,GlasspoolScott2010,charcoal,,,
310,26.1,22.6,29,GlasspoolScott2010,charcoal,,,
320,27,23.6,29.9,GlasspoolScott2010,charcoal,,,
330,27.9,21,31.9,GlasspoolScott2010,charcoal,,,
340,28.1,25.5,30.2,GlasspoolScott2010,charcoal,,,
350,28.1,24.8,30.9,GlasspoolScott2010,charcoal,,,
360,NA,,,GlasspoolScott2010,charcoal,,,
370,NA,,,GlasspoolScott2010,charcoal,,,
